# WoW API Quick Reference (1799 functions)
Format: FunctionName | signature | description
rawequal | isEqual = rawequal(v1, v2) | Returns whether two values are equal without invoking any metamethods
rawget | value = rawget(t, key) | Returns the real value associated with a key in a table without invoking any metamethods
rawset | rawset(t, key, value) | Sets the value associated with a key in a table without invoking any metamethods
RegisterCVar | RegisterCVar("cvar", "default") | Registers a configuration variable to be saved
RegisterForSave | RegisterForSave() | Enables a global variable for automatic saving upon logout & UI reload. Used for some data saved on the local client by 
RegisterForSavePerCharacter | RegisterForSavePerCharacter() | Enables a global variable for automatic saving (on a per-character basis) upon logout & UI reload. Used for some data sa
RejectProposal | RejectProposal() | Rejects a LFG dungeon invite.
ReloadUI | ReloadUI() | Reloads the user interface. Saved variables are written to disk, the default UI is reloaded, and all enabled non-LoadOnD
RemoveChatWindowChannel | RemoveChatWindowChannel(index, "channel") | Removes a channel from a chat window's list of saved channel subscriptions. Used by the default UI's function `ChatFrame
RemoveChatWindowMessages | RemoveChatWindowMessages(index, "messageGroup") | Removes a message type from a chat window's list of saved message subscriptions. Used by the default UI's functions `Cha
RemoveFriend | RemoveFriend("name") | Removes a character from the friends list
RemoveGlyphFromSocket | RemoveGlyphFromSocket(socket) | Removes the glyph from a socket
RemoveQuestWatch | RemoveQuestWatch(questIndex) | Removes a quest from the objectives tracker
RemoveTrackedAchievement | RemoveTrackedAchievement(id) | Removes an achievement from the objectives tracker UI
RenamePetition | RenamePetition("name") | Renames the guild or arena team to be created by the open petition
RepairAllItems | RepairAllItems([useGuildMoney]) | Attempts to repair all of the player's damaged items
ReplaceEnchant | ReplaceEnchant() | Confirms replacing an existing enchantment. Usable in response to the `REPLACE_ENCHANT` event which fires when the playe
ReplaceTradeEnchant | ReplaceTradeEnchant() | Confirms replacement of an existing enchantment when offering an enchantment for trade. After confirming, the enchantmen
RepopMe | RepopMe() | Releases the player's spirit to the nearest graveyard. Only has effect if the player is dead.
ReportBug | ReportBug() | . This function was once used to implement the `/bug` command, which was a feature of early World of Warcraft beta tests
ReportPlayerIsPVPAFK | ReportPlayerIsPVPAFK("name") or ReportPlayerIsPVPAFK("unit") | Reports a battleground participant as AFK
ReportSuggestion | ReportSuggestion() | . This function was once used to implement the `/suggest` command, which was a feature of early World of Warcraft beta t
RequestBattlefieldPositions | RequestBattlefieldPositions() | Requests information from the server about team member positions in the current battleground. Automatically called in th
RequestBattlefieldScoreData | RequestBattlefieldScoreData() | Requests battlefield score data from the server. Score data is not returned immediately; the `UPDATE_BATTLEFIELD_SCORE` 
RequestBattlegroundInstanceInfo | RequestBattlegroundInstanceInfo(index) | Requests information about available instances of a battleground from the server. The `PVPQUEUE_ANYWHERE_SHOW` event fir
RequestInspectHonorData | RequestInspectHonorData() | Requests PvP honor and arena data from the server for the currently inspected unit. Once the `INSPECT_HONOR_UPDATE` even
RequestRaidInfo | RequestRaidInfo() | Requests information about saved instances from the server. Data is not returned immediately; the `UPDATE_INSTANCE_INFO`
RequestTimePlayed | RequestTimePlayed() | Requests information from the server about the player character's total time spent online. Information is not returned i
ResetChatColors | ResetChatColors() | Removes all saved color settings for chat message types, resetting them to default values
ResetChatWindows | ResetChatWindows() | Removes all saved chat window settings, resetting them to default values. Used by the default UI's function `FCF_ ResetC
ResetCPUUsage | ResetCPUUsage() | Resets CPU usage statistics. Only has effect if the `scriptProfile` CVar is set to 1.
ResetCursor | ResetCursor() | Returns the cursor to its normal appearance (the glove pointer) and behavior. Has effect after the cursor image/mode has
ResetDisabledAddOns | ResetDisabledAddOns() | Reverts changes to the enabled/disabled state of addons. Any addons enabled or disabled in the current session will retu
ResetGroupPreviewTalentPoints | ResetGroupPreviewTalentPoints(isPet, talentGroup) | Reverts all changes made in the Talent UI's preview mode
ResetInstances | ResetInstances() | Resets all non-saved instances associated with the player. Only instances to which the player is not saved may be reset 
ResetPreviewTalentPoints | ResetPreviewTalentPoints(tabIndex, isPet, talentGroup) | Reverts changes made within a specific tab in the Talent UI's preview mode
ResetTutorials | ResetTutorials() | Enables contextual tutorial display and clears the list of already displayed tutorials. Tutorials that have already been
ResetView | ResetView(index) | Resets a saved camera setting to default values. There are five "slots" for saved camera settings, indexed 1-5. These vi
RespondInstanceLock | RespondInstanceLock(response) | Allows leaving a recently entered instance to which the player would otherwise be saved.
RestartGx | RestartGx() | Restart the client's graphic subsystem. Does not reload the UI.
RestoreVideoStereoDefaults | RestoreVideoStereoDefaults() | Resets stereoscopic 3D video options to default values. These options are shown in the Video -> Stereo panel in the defa
ResurrectGetOfferer | name = ResurrectGetOfferer() | Returns the name of a unit offering to resurrect the player.
ResurrectHasSickness | hasSickness = ResurrectHasSickness() | Returns whether accepting an offered resurrection spell will cause the player to suffer Resurrection Sickness. Usable fo
ResurrectHasTimer | hasTimer = ResurrectHasTimer() | Returns whether the player must wait before resurrecting. Applies to resurrection spells offered by other units, resurre
RetrieveCorpse | RetrieveCorpse() | Confirms resurrection by returning to the player's corpse
ReturnInboxItem | ReturnInboxItem(mailID) | Returns a message in the player's inbox to its sender
RollOnLoot | RollOnLoot(id, rollType) | Register the player's intent regarding an item up for loot rolling. Rolls are not actually performed until all eligible 
RunBinding | RunBinding("COMMAND") | Runs the script associated with a key binding action. Note: this function is not protected, but the scripts for many def
RunMacro | RunMacro(index [, ""button""]) or RunMacro("name" [, ""button""]) | Runs a macro
RunMacroText | RunMacroText(""text"" [, ""button""]) | Runs arbitrary text as a macro
RunScript | RunScript("script") | Runs a string as a Lua script
SaveBindings | SaveBindings(set) | Saves the current set of key bindings
SaveEquipmentSet | SaveEquipmentSet("name", icon) | Saves or creates an equipment set with the player's currently equipped items. If a set with the same name already exists
SaveView | SaveView(index) | Saves the current camera settings. There are five "slots" for saved camera settings, indexed 1-5. These views can be set
Screenshot | Screenshot() | Saves an image of the current game display. Screenshot images are saved to the folder `Screenshots` within the folder wh
scrub | ... = scrub(...) | Replaces non-simple values in a list with nil.
SecondsToTime | time = SecondsToTime(seconds [, noSeconds [, notAbbreviated [, maxCount]]]) | Returns a description of an amount of time in appropriate units. Output includes markup normally hidden when displayed i
securecall | ... = securecall(function, ...) | Calls a function without tainting the execution path. Meaningless when called from outside of the secure environment.
SecureCmdOptionParse | action, target = SecureCmdOptionParse("cmd") | Returns the action (and target, if applicable) for a secure macro command. Used in the default UI to parse macro conditi
select | ... = select(index, ...) or select("#", ...) | Returns one or more values from a list (`...`), or the number of values in a list
SelectActiveQuest | SelectActiveQuest(index) | Selects a quest which can be turned in to the current Quest NPC. Usable after a `QUEST_GREETING` event. Causes the `QUES
SelectAvailableQuest | SelectAvailableQuest(index) | Chooses a quest available from the current Quest NPC. Causes the `QUEST_DETAIL` event to fire, in which the questgiver p
SelectGossipActiveQuest | SelectGossipActiveQuest(index) | Chooses a quest which can be turned in to the current Gossip NPC. Causes the `QUEST_PROGRESS` event to fire, in which it
SelectGossipAvailableQuest | SelectGossipAvailableQuest(index) | Chooses a quest available from the current Gossip NPC. Usable after a `QUEST_GREETING` event. Causes the `QUEST_DETAIL` 
SelectGossipOption | SelectGossipOption(index [, "text" [, confirm]]) | Chooses and activates an NPC dialog option. Results may vary according to the gossip option chosen; may end the gossip (
SelectQuestLogEntry | SelectQuestLogEntry(questIndex) | Selects a quest from the quest log. The selected quest is used by other functions which do not take a quest index as arg
SelectStationery | SelectStationery(index) | Selects a given stationery for usage when sending mail. Has no effect; the stationery feature for sending mail is not im
SelectTradeSkill | SelectTradeSkill(index) | Selects a recipe in the trade skill listing. Selection in the recipe list is used only for display in the default UI and
SelectTrainerService | SelectTrainerService(index) | Selects an entry in the trainer service listing. Selection in the service list is used only for display in the default U
SendAddonMessage | SendAddonMessage("prefix", "message" [, "type" [, "target"]]) | Sends a chat-like message receivable by other addons. Allows for client-to-client addon communication.
SendChatMessage | SendChatMessage("text" [, "chatType" [, "language" [, "channel"]]]) | Sends a chat message
SendMail | SendMail("recipient", "subject", "body") | Sends the outgoing message. Any money or COD costs and attachments specified for the mail (via `SetSendMailMoney()`, `Se
SendWho | SendWho("filter") | Requests a list of characters meeting given search criteria from the server. Text in the query will match against any of
SetAbandonQuest | SetAbandonQuest(questIndex) | Begins the process of abandoning a quest in the player's quest log. To finish abandoning the quest, call `AbandonQuest()
SetAchievementComparisonUnit | success = SetAchievementComparisonUnit(unit) | Enables comparing achievements/statistics with another player.
SetActionBarToggles | SetActionBarToggles(bar1, bar2, bar3, bar4, alwaysShow) | Configures display of additional ActionBars in the default UI
SetActiveTalentGroup | SetActiveTalentGroup(talentGroup) | Switches the player's active talent specialization.
SetActiveVoiceChannel | SetActiveVoiceChannel(index) | Sets the currently active voice channel
SetActiveVoiceChannelBySessionID | SetActiveVoiceChannelBySessionID(session) | Sets the currently active voice chat channel
SetAllowLowLevelRaid | SetAllowLowLevelRaid(enable) | Enabling this if your character is below level 10 will allow you to join a raid group.
SetArenaTeamRosterSelection | SetArenaTeamRosterSelection(team, index) | Selects a member in an arena team roster. Selection in the arena team roster currently has no effect beyond highlighting
SetArenaTeamRosterShowOffline | SetArenaTeamRosterShowOffline(enable) | Enables or disables the inclusion of offline members in arena team roster listings. The "Show Offline" filter is not use
SetBagPortraitTexture | SetBagPortraitTexture(texture, container) | Sets a Texture object to display the icon of one of the player's bags. Adapts the square item icon texture to fit within
SetBattlefieldScoreFaction | SetBattlefieldScoreFaction(faction) | Filters the battleground scoreboard by faction/team
SetBinding | success = SetBinding("key" [, "command"]) | Binds a key combination to a binding command
SetBindingClick | success = SetBindingClick("key", "buttonName" [, "mouseButton"]) | Binds a key combination to "click" a Button object. When the binding is used, all of the relevant mouse handlers on the 
SetBindingItem | success = SetBindingItem("key", itemID) or SetBindingItem("key", "itemName") or SetBindingItem("key", "itemLink") | Binds a key combination to use an item in the player's possession
SetBindingMacro | success = SetBindingMacro("key", index) or SetBindingMacro("key", "name") | Binds a key combination to run a macro
SetBindingSpell | success = SetBindingSpell("key", "spellname") | Binds a key combination to cast a spell
SetChannelOwner | SetChannelOwner("channel", "fullname") | Gives channel ownership to another character. Has no effect unless the player is the owner of the given channel.
SetChannelPassword | SetChannelPassword("channel", "password") | Sets a password on a custom chat channel
SetChatColorNameByClass | SetChatColorNameByClass("chatType", colorByName) | Sets whether the player names should be colored by class for a given chat type
SetChatWindowAlpha | SetChatWindowAlpha(index, alpha) | Saves a chat window's background opacity setting. Used by the default UI's function `FCF_SetWindowAlpha()` which changes
SetChatWindowColor | SetChatWindowColor(index, r, g, b) | Saves a chat window's background color setting. Used by the default UI's function `FCF_SetWindowColor()` which changes t
SetChatWindowDocked | SetChatWindowDocked(index, docked) | Saves whether a chat window should be docked with the main chat window. Used by the default UI's functions `FCF_DockFram
SetChatWindowLocked | SetChatWindowLocked(index, locked) | Saves whether a chat window is locked. Used by the default UI's functions `FCF_OpenNewWindow()` and `FCF_SetLocked()` wh
SetChatWindowName | SetChatWindowName(index, "name") | Saves a chat window's display name setting. Used by the default UI's function `FCF_SetWindowName()` which also handles s
SetChatWindowShown | SetChatWindowShown(index, shown) | Saves whether a chat window should be shown. Used by the default UI's function `FCF_OpenNewWindow()` which initializes a
SetChatWindowSize | SetChatWindowSize(index, size) | Saves a chat window's font size setting. Used by the default UI's function `FCF_SetChatWindowFontSize()` which also hand
SetChatWindowUninteractable | SetChatWindowUninteractable(index, setUninteractable) | Saves whether a chat window is marked as non-interactive. Used by the default UI's function `FCF_SetUninteractable()` wh
SetCurrencyBackpack | SetCurrencyBackpack(index, watch) | Sets a currency type to be watched on the Backpack UI
SetCurrencyUnused | SetCurrencyUnused(index, makeUnused) | Moves a currency type to or from the Unused currencies list.
SetCurrentGuildBankTab | SetCurrentGuildBankTab(tab) | Selects a tab in the guild bank
SetCurrentTitle | SetCurrentTitle(titleIndex) | Changes a player's displayed title
SetCursor | SetCursor("cursor") | Changes the mouse cursor image. Changes only the appearance of the mouse cursor, not its behavior (and has no effect if 
SetCVar | SetCVar("cvar", value [, "raiseEvent"]) | Sets the value of a configuration variable
SetDungeonDifficulty | SetDungeonDifficulty(difficulty) | Sets the player's 5 player dungeon difficulty preference.
SetDungeonMapLevel | SetDungeonMapLevel(level) | Sets the world map to display a certain map image (for zones that use multiple map images). Used in zones with more than
seterrorhandler | seterrorhandler(errHandler) | Changes the error handler to a specified function. The error handler is called by Lua's `error()` function, which in tur
SetEuropeanNumbers | SetEuropeanNumbers(enable) | Sets the decimal separator for displayed numbers. Affects the style not only of numbers displayed in the UI, but any str
SetFactionActive | SetFactionActive(index) | Removes the "inactive" status from a faction. "Inactive" factions behave no differently; the distinction only exists to 
SetFactionInactive | SetFactionInactive(index) | Flags a faction as inactive. "Inactive" factions behave no differently; the distinction only exists to allow players to 
setfenv | f = setfenv([f,] t) or setfenv([stackLevel,] t) | Sets the environment to be used by a function. If the environment has a `__environment` metatable, this function will er
SetFriendNotes | SetFriendNotes(index, "note") or SetFriendNotes("name", "note") | Sets note text associated with a friends list entry. Setting a note to `nil` will result in an error; to remove a note, 
SetGamma | SetGamma(value) | Changes the display gamma setting. Gamma value determines the contrast between lighter and darker portions of the game d
setglobal | setglobal("name", value) | Sets a global variable to a specified value. Allows setting the value of a global variable in contexts where its name mi
SetGuildBankTabInfo | SetGuildBankTabInfo(tab, "name", iconIndex) | Sets the name and icon for a guild bank tab
SetGuildBankTabPermissions | SetGuildBankTabPermissions(tab, permission, enabled) | Changes guild bank tab permissions for the guild rank being edited
SetGuildBankText | SetGuildBankText(tab, "text") | Sets the info text for a guild bank tab
SetGuildInfoText | SetGuildInfoText("text") | Sets the guild information text.. This text appears when clicking the "Guild Information" button in the default UI's Gui
SetGuildRosterSelection | SetGuildRosterSelection(index) | Selects a member in the guild roster. Selection in the guild roster is used only for display in the default UI and has n
SetGuildRosterShowOffline | SetGuildRosterShowOffline(showOffline) | Enables or disables inclusion of offline members in the guild roster listing
SetInventoryPortraitTexture | SetInventoryPortraitTexture(texture, "unit", slot) | Sets a Texture object to display the icon of an equipped item. Adapts the square item icon texture to fit within the cir
SetLFGComment | SetLFGComment("comment") | Associates a brief text comment with the player's listing in the LFG system. In the default UI, other players see this c
SetLFGDungeon | SetLFGDungeon(queueIndex) | Sets a flag indicating that the player would like to join a given dungeon/queue. This function simply indicates that the
SetLFGRoles | SetLFGRoles(leader, tank, healer, damage) | Sets group roles for which to advertise the player in the LFG system. Passing `true` for a role the player's class does 
SetLootMethod | SetLootMethod("method" [, "master"]) | Sets the loot method for a party or raid group. Has no effect if the player is not the party or raid leader.
SetLootPortrait | SetLootPortrait(texture) | Sets a Texture object to show the appropriate portrait image when looting. Normally, the loot portrait image is the same
SetLootThreshold | SetLootThreshold(threshold) | Sets the threshold used for Master Looter, Group Loot, and Need Before Greed loot methods. Has no effect if the player i
SetMacroSpell | SetMacroSpell(index, "spell" [, target]) or SetMacroSpell("name", "spell" [, target]) | Changes the spell used for dynamic feedback for a macro. Normally a macro uses the item or spell specified by its comman
SetMapByID | SetMapByID(id) | Sets the map based on a specified ID. For example, if you are an Undead character in the starting area, which is map ID 
SetMapToCurrentZone | SetMapToCurrentZone() | Sets the world map to show the zone in which the player is located
SetMapZoom | SetMapZoom(continentIndex [, zoneIndex]) | Sets the world map to show a specific zone or continent
setmetatable | t = setmetatable(t, metatable) | Sets the metatable for a table
SetModifiedClick | SetModifiedClick("action", "binding") | Sets a modified click for a given action
SetMouselookOverrideBinding | SetMouselookOverrideBinding("key", "binding") | Overrides the default mouselook bindings to perform another binding with the mouse buttons
SetMultiCastSpell | SetMultiCastSpell(action, spell) | Sets a multi-cast action slot to a given spell. This function is used to set up the multi-cast action slots, such as the
SetMultisampleFormat | SetMultisampleFormat(index) | Changes the multisample setting. The `index` argument corresponds to the individual settings described by `GetMultisampl
SetNextBarberShopStyle | SetNextBarberShopStyle(styleIndex [, reverse]) | Selects the next style for a barber shop style option. Changes the underlying data (and thus the character's appearance)
SetOptOutOfLoot | SetOptOutOfLoot(enable) | Changes the player's preference to opt out of loot rolls. When opting out, no prompt will be shown for loot which ordina
SetOverrideBinding | SetOverrideBinding(owner, isPriority, "key", "command") | Sets an override binding for a binding command. Override bindings are temporary. The bound key will revert to its normal
SetOverrideBindingClick | SetOverrideBindingClick(owner, isPriority, "key", "buttonName" [, "mouseButton"]) | Sets an override binding to "click" a Button object. Override bindings are temporary. The bound key will revert to its n
SetOverrideBindingItem | SetOverrideBindingItem(owner, isPriority, "key", itemID) or SetOverrideBindingItem(owner, isPriority, "key", "itemName") or SetOverrideBindingItem(owner, isPriority, "key", "itemLink") | Sets an override binding to use an item in the player's possession. Override bindings are temporary. The bound key will 
SetOverrideBindingMacro | SetOverrideBindingMacro(owner, isPriority, "key", index) or SetOverrideBindingMacro(owner, isPriority, "key", "name") | Sets an override binding to run a macro. Override bindings are temporary. The bound key will revert to its normal settin
SetOverrideBindingSpell | SetOverrideBindingSpell(owner, isPriority, "key", "spellname") | Set an override binding to a specific spell. Override bindings are temporary. The bound key will revert to its normal se
SetPartyAssignment | SetPartyAssignment("assignment", "unit") or SetPartyAssignment("assignment", "name" [, exactMatch]) | Assigns a group role to a member of the player's party or raid
SetPetStablePaperdoll | SetPetStablePaperdoll(model) | Sets the given Model to show the selected stabled pet
SetPortraitTexture | SetPortraitTexture(texture, "unit") | Sets a Texture object to show a portrait of a unit. Causes the client to render a view of the unit's model from a standa
SetPortraitToTexture | SetPortraitToTexture("frameName", "texturePath") | Sets a Texture object to display an arbitrary texture, altering it to fit a circular frame. Used in the default UI to di
SetPVP | SetPVP(state) | Enables or disables the player's desired PvP status. Enabling PvP takes effect immediately; disabling PvP begins a five-
SetRaidDifficulty | SetRaidDifficulty(difficulty) | Sets the player's raid dungeon difficulty preference. The dungeon difficulty has no effect on the instance created if th
SetRaidRosterSelection | SetRaidRosterSelection(index) | Selects a unit in the raid roster. Selection in the raid roster is used only for display in the default UI and has no ef
SetRaidSubgroup | SetRaidSubgroup(index, subgroup) | Moves a raid member to a non-full raid subgroup. Only has effect if the player is the raid leader or a raid assistant. T
SetRaidTarget | SetRaidTarget("unit", index) or SetRaidTarget("name", index) | Puts a raid target marker on a unit
SetScreenResolution | SetScreenResolution(index) | Changes the screen resolution
SetSelectedAuctionItem | SetSelectedAuctionItem("list", index) | Selects an item in an auction listing. Auction selection is used only for display and internal recordkeeping in the defa
SetSelectedBattlefield | SetSelectedBattlefield(index) | Selects a battleground instance in the queueing list. Selection in the battleground instance list is used only for displ
SetSelectedDisplayChannel | SetSelectedDisplayChannel(index) | Selects a channel in the channel list display
SetSelectedFaction | SetSelectedFaction(index) | Selects a faction in the reputation UI.
SetSelectedFriend | SetSelectedFriend(index) | Selects a character in the player's friends list. Selection in the Friends list is used only for display in the default 
SetSelectedIgnore | SetSelectedIgnore(index) | Selects a character in the player's ignore list. Selection in the Ignore list is used only for display in the default UI
SetSelectedMute | SetSelectedMute(index) | Selects an entry in the Muted list. Mute list selection is only used for display purposes in the default UI and has no e
SetSendMailCOD | SetSendMailCOD(amount) | Sets the Cash-On-Delivery cost of the outgoing message. Called in the default UI when clicking its Send button, immediat
SetSendMailMoney | success = SetSendMailMoney(amount) | Sets the amount of money to be sent with the outgoing message. Called in the default UI when clicking its Send button, i
SetSendMailShowing | SetSendMailShowing(enable) | Enables or disables shortcuts for attaching items to outgoing mail. When shortcuts are enabled, `UseContainerItem()` (i.
SetTaxiBenchmarkMode | SetTaxiBenchmarkMode("arg") | Enables or disables flight path benchmark mode. When benchmark mode is enabled, the next taxi flight the player takes wi
SetTaxiMap | SetTaxiMap(texture) | Sets a Texture object to show the appropriate flight map texture. Only has effect while interacting with a flight master
SetTracking | SetTracking(index, enabled) | Enables a given minimap object/unit tracking ability
SetTradeMoney | SetTradeMoney(amount) | Offers an amount of money for trade
SetTradeSkillInvSlotFilter | SetTradeSkillInvSlotFilter(index [, enable [, exclusive]]) | Filters the trade skill listing by equipment slot of items produced
SetTradeSkillItemLevelFilter | SetTradeSkillItemLevelFilter(minLevel, maxLevel) | Filters the trade skill listing by required level of items produced
SetTradeSkillItemNameFilter | SetTradeSkillItemNameFilter("text") | Filters the trade skill listing by name of recipe, item produced, or reagents. Uses a substring (not exact-match) search
SetTradeSkillSubClassFilter | SetTradeSkillSubClassFilter(index [, enable [, exclusive]]) | Filters the trade skill listing by subclass of items produced
SetTrainerServiceTypeFilter | SetTrainerServiceTypeFilter("type" [, enable [, exclusive]]) | Filters the trainer service listing by service status
SetTrainerSkillLineFilter | SetTrainerSkillLineFilter("type" [, enable [, exclusive]]) | Filters the trainer service listing by skill line. The default UI does not provide control for skill line filters, but t
SetUIVisibility | SetUIVisibility(visible) | Enables or disables display of UI elements in the 3-D world. Applies only to 2-D UI elements displayed in the 3-D world:
SetupFullscreenScale | SetupFullscreenScale(frame) | Sizes a frame to take up the entire screen regardless of screen resolution
SetView | SetView(index) | Moves the camera to a saved camera setting. There are five "slots" for saved camera settings, indexed 1-5. These views c
SetWatchedFactionIndex | SetWatchedFactionIndex(index) | Makes a faction the "watched" faction (displayed on the XP bar in the default UI)
SetWaterDetail | SetWaterDetail(value) | Sets the value for the water details display
SetWhoToUI | SetWhoToUI(state) | Changes the delivery method for results from `SendWho()` queries. In the default UI, results delivered in `CHAT_MSG_SYST
ShowBuybackSellCursor | ShowBuybackSellCursor(index) | Changes the cursor to prepare for repurchasing an item recently sold to a vendor. Only changes the cursor image and mode
ShowCloak | ShowCloak(show) | Enables or disables display of the player's cloak. Only affects the player's appearance; does not change the other effec
ShowContainerSellCursor | ShowContainerSellCursor(container, slot) | Changes the cursor to prepare for selling an item in the player's bags to a vendor. Only changes the cursor image and mo
ShowFriends | ShowFriends() | Requests friends/ignore list information from the server. Information is not returned immediately; the `FRIENDLIST_UPDAT
ShowHelm | ShowHelm(show) | Enables or disables display of the player's headgear. Only affects the player's appearance; does not change the other ef
ShowingCloak | isShown = ShowingCloak() | Returns whether the player's cloak is displayed. Determines not only the appearance of the player character on the local
ShowingHelm | isShown = ShowingHelm() | Returns whether the player's headgear is displayed. Determines not only the appearance of the player character on the lo
ShowInventorySellCursor | ShowInventorySellCursor(slot) | Changes the cursor to prepare for selling an equipped item to a vendor. Only changes the cursor image and mode if the gi
ShowMerchantSellCursor | ShowMerchantSellCursor(index) | Changes the cursor to prepare for buying an item from a vendor. Only changes the cursor image and mode if the given `ind
ShowMiniWorldMapArrowFrame | ShowMiniWorldMapArrowFrame(show) | Shows or hides the battlefield minimap's player arrow
ShowRepairCursor | ShowRepairCursor() | Puts the cursor in item repair mode. Unlike most other cursor functions, this functions changes the behavior as well as 
SignPetition | SignPetition() | Signs the currently offered petition
SitStandOrDescendStart | SitStandOrDescendStart() | Causes the player character to sit down if standing and vice versa (or begins descent if swimming or flying). Used by th
SocketContainerItem | SocketContainerItem(container, slot) | Opens an item from the player's bags for socketing
SocketInventoryItem | SocketInventoryItem(slot) | Opens an equipped item for socketing
sort | sort(table [, comparator]) | Sorts a table. Alias for the standard library function `table.sort`.
SortArenaTeamRoster | SortArenaTeamRoster("sortType") | Sorts the selected arena team's roster. Affects the ordering of member information returned by `GetArenaTeamRosterInfo`.
SortAuctionApplySort | SortAuctionApplySort("list") | Applies a set of auction listing sort criteria set via `SortAuctionSetSort`. Sort criteria are applied server-side, affe
SortAuctionClearSort | SortAuctionClearSort("list") | Clears any current sorting rules for an auction house listing
SortAuctionItems | SortAuctionItems("type", "sort") | Sorts the auction house listing. No longer used in the default UI; see `SortAuctionClearSort()`, `SortAuctionSetSort()`,
SortAuctionSetSort | SortAuctionSetSort("list", "sort", reversed) | Builds a list of sort criteria for auction listings. Has no effect until `SortAuctionApplySort(type)` is called; thus, t
SortBattlefieldScoreData | SortBattlefieldScoreData("sortType") | Sorts the battleground scoreboard. Battleground-specific statistics include flags captured in Warsong Gulch, towers assa
SortGuildRoster | SortGuildRoster("type") | Sorts the guild roster. Sorting repeatedly by the same criterion will reverse the sort order. Previous sorts are reused 
SortQuestWatches | changed = SortQuestWatches() | Sorts the quests listed in the watch frame based on the set criteria
SortWho | SortWho("sortType") | Sorts the Who system query results list. Sorting by the same criterion twice will reverse the sort order.
Sound_ChatSystem_GetInputDriverNameByIndex | Sound_ChatSystem_GetInputDriverNameByIndex(index) | Returns the name of the given chat system sound input driver
Sound_ChatSystem_GetNumInputDrivers | Sound_ChatSystem_GetNumInputDrivers() | Returns the number of chat system sound input drivers
Sound_ChatSystem_GetNumOutputDrivers | Sound_ChatSystem_GetNumOutputDrivers() | Returns the number of chat system sound output drivers
Sound_ChatSystem_GetOutputDriverNameByIndex | Sound_ChatSystem_GetOutputDriverNameByIndex(index) | Returns the name of the given chat system sound output driver
Sound_GameSystem_GetInputDriverNameByIndex | Sound_GameSystem_GetInputDriverNameByIndex(index) | Returns the name of the given game sound input driver
Sound_GameSystem_GetNumInputDrivers | Sound_GameSystem_GetNumInputDrivers() | Returns the number of game sound input drivers
Sound_GameSystem_GetNumOutputDrivers | Sound_GameSystem_GetNumOutputDrivers() | Returns the number of game sound output drivers
Sound_GameSystem_GetOutputDriverNameByIndex | Sound_GameSystem_GetOutputDriverNameByIndex(index) | Returns the name of the given game sound output driver
Sound_GameSystem_RestartSoundSystem | Sound_GameSystem_RestartSoundSystem() | Restarts the game's sound systems
SpellCanTargetGlyph | canTarget = SpellCanTargetGlyph() | Returns whether the spell currently awaiting a target requires a glyph slot to be chosen.
SpellCanTargetItem | canTarget = SpellCanTargetItem() | Returns whether the spell currently awaiting a target requires an item to be chosen. Only applies when the player has at
SpellCanTargetUnit | canTarget = SpellCanTargetUnit("unit") or SpellCanTargetUnit("name") | Returns whether the spell currently awaiting a target can target a given unit. Only applies when the player has attempte
SpellHasRange | hasRange = SpellHasRange(index, "bookType") or SpellHasRange("name") | Returns whether an item has a range limitation for its use. For example: Shadowbolt can only be used on a unit within a 
SpellIsTargeting | isTargeting = SpellIsTargeting() | Returns whether a spell is currently awaiting a target
SpellStopCasting | SpellStopCasting() | Stops casting or targeting the spell in progress
SpellStopTargeting | SpellStopTargeting() | Cancels the spell currently awaiting a target. When auto-self cast is not enabled and the player casts a spell that requ
SpellTargetItem | SpellTargetItem(itemID) or SpellTargetItem("itemName") or SpellTargetItem("itemLink") | Casts the spell currently awaiting a target on an item. Usable when the player has attempted to cast a spell (e.g. an En
SpellTargetUnit | SpellTargetUnit("unit") or SpellTargetUnit("name") | Casts the spell currently awaiting a target on a unit
SplitContainerItem | SplitContainerItem(container, slot, amount) | Picks up only part of a stack of items from one of the player's bags or other containers. Has no effect if the given `am
SplitGuildBankItem | SplitGuildBankItem(tab, slot, amount) | Picks up only part of a stack of items from the guild bank. Has no effect if the given `amount` is greater than the numb
sqrt | root = sqrt(x) | Returns the square root of a number. Alias for the standard library function `math.sqrt`.
StablePet | StablePet() | Puts the player's current pet into the stables
StartAttack | StartAttack("unit") or StartAttack("name") | Begins auto-attack against a specified target
StartAuction | StartAuction(minBid, buyoutPrice, runTime, stackSize, numStacks) | Creates an auction for the item currently in the "auction item" slot. Has no effect unless an item has been placed in th
StartDuel | StartDuel("unit") or StartDuel("name" [, exactMatch]) | Challenges another player to a duel
StopAttack | StopAttack() | Stops auto-attack if active
StopCinematic | StopCinematic() | Exits a currently playing in-game cinematic. Applies to in-game-engine cinematics (such as when logging into a new chara
StopMacro | StopMacro() | Stops execution of a running macro
StopMusic | StopMusic() | Stops currently playing in-game music
StopTradeSkillRepeat | StopTradeSkillRepeat() | Cancels repetition of a trade skill recipe. If a recipe is currently being performed, it will continue, but further sche
Stopwatch_Toggle | Stopwatch_Toggle() | Toggles visibility of the StopwatchFrame
StrafeLeftStart | StrafeLeftStart() | Begins moving the player character sideways to his or her left
StrafeLeftStop | StrafeLeftStop() | Ends movement initiated by `StrafeLeftStart`
